id,Title,Description,Price_Raw,Price_Billion,Price_Per_m2,Price_per_m2_VND,log_price_vnd,Area_m2,Width_m,Bedrooms,Toilets,District,District_Name,Ward,Address,Floor,Is_MatTien,Post_Time,Link,Page,Price_VND,Floors
22667149,"✅ Bán nhà MT Điện Biên Phủ, Phường 6, Quận 3 DT 6m x 35,6m Giá 450tr/m","✅ Bán nhà MT Điện Biên Phủ, Phường 6, Quận 3 DT 6m x 35,6m Giá 450tr/m",96 tỷ 300 triệu,96.3,450.0,450000000.0,25.29073415576088,214.0,6.0,0,0,quan-3,Quận 3,6,"Quận 3, TPHCM",,0,10/04/2025,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-mt-dien-bien-phu-phuong-6-quan-3-dt-6m-x-35-6m-gia-450tr-m-id22667149,46,96300000000.0,1.0
22667153,"✅ Bán nhà MT Bát Nàn, Bình Trưng Tây, Quận 2 DT 10m x 20m Giá 48 tỷ","✅ Bán nhà MT Bát Nàn, Bình Trưng Tây, Quận 2 DT 10m x 20m Giá 48 tỷ",48 tỷ,48.0,240.0,240000000.0,24.594466847875136,200.0,10.0,0,0,quan-2,Quận 2,,"Quận 2 (TP. Thủ Đức), TPHCM",,0,10/04/2025,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nha-mt-bat-nan-binh-trung-tay-quan-2-dt-10m-x-20m-gia-48-ty-id22667153,43,48000000000.0,1.0
22667155,"✅ Bán nhà MT Hồ Bá Kiện, Phường 15, Quận 10 DT 4,9m X 15m Giá 28 tỷ","✅ Bán nhà MT Hồ Bá Kiện, Phường 15, Quận 10 DT 4,9m X 15m Giá 28 tỷ",28 tỷ,28.0,411.76,411764705.88235295,24.05547034715733,68.0,4.9,0,0,quan-10,Quận 10,15,"Quận 10, TPHCM",,0,10/04/2025,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-nha-mt-ho-ba-kien-phuong-15-quan-10-dt-4-9m-x-15m-gia-28-ty-id22667155,26,28000000000.0,1.0
22667160,"✅ Bán nhà MT TRẦN NÃO, P.BA, QUẬN 2 DT 5,35m x 42m Giá 37 tỷ","✅ Bán nhà MT TRẦN NÃO, P.BA, QUẬN 2 DT 5,35m x 42m Giá 37 tỷ",37 tỷ,37.0,528.57,528571428.5714286,24.33418374961766,70.0,5.35,0,0,quan-2,Quận 2,BA,"Quận 2 (TP. Thủ Đức), TPHCM",,0,10/04/2025,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nha-mt-tran-nao-p-ba-quan-2-dt-5-35m-x-42m-gia-37-ty-id22667160,43,37000000000.0,1.0
22667170,Rẻ Nhất Khu Vực TNPA Oto 410M Ngang 7m5 nở Hậu Full Thổ Giá 13.x Tỷ TL,Rẻ Nhất Khu Vực TNPA Oto 410M Ngang 7m5 nở Hậu Full Thổ Giá 13.x Tỷ TL,13 tỷ 500 triệu,13.5,32.93,32926829.268292684,23.32595552246487,410.0,7.0,1,1,quan-9,Quận 9,,"Quận 9 (TP. Thủ Đức), TPHCM",,0,11/03/2025,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/re-nhat-khu-vuc-tnpa-oto-410m-ngang-7m5-no-hau-full-tho-gia-13-x-ty-tl-id22667170,22,13500000000.0,1.0
22667175,"Bán nhà Thảo Điền, DT 5.2x15m, CN 71m2, Nhà 3 lầu, SHCC - 14 tỷ","Bán nhà Thảo Điền, DT 5.2x15m, CN 71m2, Nhà 3 lầu, SHCC - 14 tỷ",14 tỷ,14.0,179.49,179487179.4871795,23.362323166633097,78.0,5.2,5,5,quan-2,Quận 2,,"Quận 2 (TP. Thủ Đức), TPHCM",3,0,18/04/2025,https://mogi.vn/quan-2/mua-nha-hem-ngo/ban-nha-thao-dien-dt-5-2x15m-cn-71m2-nha-3-lau-shcc-14-ty-id22667175,6,14000000000.0,4.0
22667236,"Nhà mặt tiền Phạm Hữu Chí 6 x 15 x 6 tầng thang máy , gần UBND Q6","Nhà mặt tiền Phạm Hữu Chí 6 x 15 x 6 tầng thang máy , gần UBND Q6",24 tỷ 500 triệu,24.5,245.0,245000000.0,23.921938954537907,100.0,6.0,8,8,quan-6,Quận 6,,"Quận 6, TPHCM",6,1,07/07/2025,https://mogi.vn/quan-6/mua-nha-mat-tien-pho/nha-mat-tien-pham-huu-chi-6-x-15-x-6-tang-thang-may-gan-ubnd-q6-id22667236,15,24500000000.0,6.0
22667237,"Nhà 30m2x3 tầng Trần Hưng Đạo, Q1. Hẻm Rộng, Gần Bùi Viện, Chỉ 6,1 Tỷ!","Nhà 30m2x3 tầng Trần Hưng Đạo, Q1. Hẻm Rộng, Gần Bùi Viện, Chỉ 6,1 Tỷ!",5 tỷ 200 triệu,5.2,173.33,173333333.33333334,22.3719244627261,30.0,2.0,3,3,quan-1,Quận 1,,"Quận 1, TPHCM",3,0,04/06/2025,https://mogi.vn/quan-1/mua-nha-hem-ngo/nha-30m2x3-tang-tran-hung-dao-q1-hem-rong-gan-bui-vien-chi-6-1-ty-id22667237,9,5200000000.0,3.0
22667267,"MTKD ĐỖ XUÂN HỢP, Phước Long B, Thủ Đức, 160m2, ngang 6.m, 10 tỷ 499","MTKD ĐỖ XUÂN HỢP, Phước Long B, Thủ Đức, 160m2, ngang 6.m, 10 tỷ 499",10 tỷ 500 triệu,10.5,65.62,65625000.0,23.074641094205127,160.0,6.0,10,10,quan-9,Quận 9,,"Quận 9 (TP. Thủ Đức), TPHCM",,1,11/04/2025,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/mtkd-do-xuan-hop-phuoc-long-b-thu-duc-160m2-ngang-6-m-10-ty-499-id22667267,17,10500000000.0,1.0
22667395,Nhà Mặt Tiền Kinh Doanh- 5x16- Khu dân cư - Quận 8 -  Giá nhỉnh 4 tỷ,Nhà Mặt Tiền Kinh Doanh- 5x16- Khu dân cư - Quận 8 -  Giá nhỉnh 4 tỷ,4 tỷ 500 triệu,4.5,56.25,56250000.0,22.227343233944907,80.0,5.0,1,1,quan-8,Quận 8,,"Quận 8, TPHCM",,1,02/03/2025,https://mogi.vn/quan-8/mua-nha-mat-tien-pho/nha-mat-tien-kinh-doanh-5x16-khu-dan-cu-quan-8-gia-nhinh-4-ty-id22667395,6,4500000000.0,1.0
